iter	Passed	Remaining
410	4208	26508
411	4209	26440
412	4210	26373
413	4212	26310
414	4213	26248
415	4215	26183
416	4216	26117
417	4217	26050
418	4219	25992
419	4221	25931
420	4223	25871
421	4225	25812
422	4226	25748
423	4227	25686
424	4229	25627
425	4232	25573
426	4366	26309
427	4378	26311
428	4385	26282
429	4387	26223
430	4391	26175
431	4394	26122
432	4396	26065
433	4508	26658
434	4510	26596
435	4512	26535
436	4554	26714
437	4556	26652
438	4558	26592
439	4561	26538
440	4564	26484
441	4565	26424
442	4581	26443
443	4582	26380
444	4584	26322
445	4616	26435
446	4618	26376
447	4619	26315
448	4621	26258
449	4623	26200
450	4625	26144
451	4627	26085
452	4632	26048
453	4635	25996
454	4638	25943
455	4640	25887
456	4642	25832
457	4671	25929
458	4673	25873
459	4675	25815
460	4676	25755
461	4678	25699
462	4679	25641
463	4680	25583
464	4682	25524
465	4683	25467
466	4684	25409
467	4686	25355
468	4687	25298
469	4689	25241
470	4690	25183
4471	4793	25671
472	4794	25617
473	4796	25561
474	4799	25515
475	4802	25462
476	4804	25413
477	4808	25372
478	4814	25340
479	4817	25289
480	4818	25234
481	4819	25177
482	4820	25121
483	4822	25069
484	4823	25013
485	4825	24958
486	4826	24905
487	4827	24851
488	4828	24795
489	4829	24739
490	4830	24684
491	4831	24630
492	4832	24575
493	4834	24523
494	4835	24468
495	4836	24415
496	4837	24363
497	4838	24309
498	4839	24258
499	4841	24205
500	4843	24157
501	4844	24107
502	4845	24055
503	4847	24008
504	4849	23960
505	4851	23910
506	4853	23863
507	4854	23815
508	4856	23768
509	4858	23719
510	4859	23671
511	4861	23622
512	4862	23574
513	4864	23525
514	4865	23477
515	4866	23429516	4876	23421
517	4877	23371
518	4887	23364
519	4896	23352
520	4899	23312
521	4900	23264
522	4903	23221
523	4905	23177
524	4906	23132
525	4908	23087
526	4998	23457
527	5001	23416
528	5006	23384
529	5008	23339
530	5019	23339
531	5021	23295
532	5023	23251
533	5025	23206
534	5030	23179
535	5060	23261
536	5061	23215
537	5063	23171
538	5065	23126
539	5066	23080
540	5067	23033
541	5125	23244
542	5127	23201
543	5130	23164
544	5134	23130
545	5137	23090
546	5139	23046
547	5141	23004
548	5143	22961
549	5145	22920
550	5154	22909
551	5156	22867
552	5158	22824
553	5159	22781
554	5161	22740
555	5164	22699
556	5165	22655
557	5166	22610
558	5168	22569
559	5170	22528
560	5171	22485
561	5173	22443
562	5175	22402
563	5177	22361
564	5178	22318
565	5179	22275
566	5181	22233
567	5182	22190
568	5183	22147
569	5184	22103
570	5185	22059
571	5187	22018
572	5188	21978
573	5190	21936
574	5295	22335
575	5324	22408
576	5338	22415
577	5339	22375
578	5365	22433
579	5366	22390
580	5367	22347
581	5370	22313
582	5372	22273
583	5374	22234
584	5376	22194
585	5378	22155
586	5381	22121
587	5384	22088
588	5441	22274
589	5443	22234
590	5472	22307
591	5476	22275
592	5477	22233
593	5478	22191
594	5479	22150
595	5481	22108
596	5482	22066
597	5483	22025
598	5484	21984
599	5485	21943
600	5487	21902
601	5488	21863
602	5489	21822
603	5491	21782
604	5492	21743
605	5531	21851
606	5533	21815
607	5535	21777
608	5536	21737
609	5538	21698
610	5539	21658
611	5541	21621
612	5542	21583
613	5545	21548
614	5546	21510
615	5548	21471
616	5596	21615
617	5598	21577
618	5599	21538
619	5600	21499
620	5601	21460
621	5603	21422
622	5604	21383
623	5605	21345
624	5606	21306
625	5607	21267
626	5608	21228
627	5610	21190
628	5611	21152
629	5612	21113
630	5613	21075
631	5615	21038
632	5616	21000
633	5617	20962
634	5676	21140
635	5678	21105
636	5679	21069
637	5681	21035
638	5683	20999
639	5685	20963
640	5686	20927
641	5687	20890
642	5689	20854
643	5690	20818
644	5691	20782
645	5693	20745
646	5694	20709
647	5695	20672
648	5696	20636
649	5697	20599
650	5698	20563
